y_tun
0.0797
0.9313
0.7209
0.5374
0.3999
0.2976
0.2215
0.1649
0.1227
0.0913
0.068
0.0506
0.0376
0.028
0.0208
0.0155
0.0115
0.0086
0.0064
0.0048
